student_id,age,gender,program,prior_gpa,total_logins,avg_session_duration,time_spent_on_materials,num_forum_posts,num_forum_replies,late_submissions,quiz_attempts,quiz_scores_avg,assignment_scores_avg,final_exam_score,text_feature_1,text_feature_2,text_feature_3,text_feature_4,text_feature_5,student_performance
S0033,37,Male,BSc,3.26,151,14.93,47.35,13,4,0,7,75.01,56.02,88.33,0.288,0.61,0.745,0.191,0.687,Pass
S0034,20,Male,BSc,2.31,135,38.03,13.14,19,9,0,8,71.2,63.51,44.98,0.258,0.169,0.851,0.502,0.297,Fail
S0035,22,Female,Diploma,3.42,144,15.99,13.33,16,6,1,9,48.1,50.23,35.0,0.405,0.413,0.77,0.887,0.476,Fail
S0036,36,Male,BSc,3.35,118,20.58,12.35,13,16,4,3,68.31,98.34,34.8,0.323,0.727,0.905,0.114,0.797,Pass
S0037,24,Female,MSc,2.05,123,18.61,40.5,16,11,2,5,72.29,78.46,51.03,0.557,0.868,0.514,0.863,0.554,Fail
S0038,38,Other,Diploma,2.82,122,13.36,5.27,17,12,0,3,77.47,40.67,62.43,0.145,0.005,0.62,0.592,0.21,Pass
S0039,26,Female,MSc,2.67,93,43.57,10.72,20,8,0,5,67.35,74.71,74.06,0.851,0.868,0.804,0.937,0.507,Pass
S0040,24,Female,MSc,3.34,119,33.17,29.21,15,16,0,2,48.8,86.87,81.01,0.702,0.904,0.456,0.618,0.513,Pass
S0041,35,Male,MSc,2.43,125,51.55,16.14,9,9,1,3,49.02,43.08,42.51,0.983,0.438,0.317,0.63,0.281,Pass
S0042,21,Female,Diploma,3.18,118,14.94,9.16,18,9,1,7,83.26,74.68,77.87,0.858,0.892,0.345,0.358,0.087,Fail
S0043,31,Female,BSc,3.83,121,17.24,21.19,17,9,0,8,79.69,62.46,42.78,0.256,0.068,0.757,0.18,0.079,Pass
S0044,35,Male,BSc,3.6,146,25.32,17.34,14,6,5,5,55.57,74.89,99.8,0.164,0.377,0.422,0.899,0.28,Fail
S0045,26,Male,BSc,3.84,127,48.29,28.0,14,3,1,3,66.75,55.16,97.13,0.718,0.895,0.857,0.199,0.28,Fail
S0046,38,Other,Diploma,3.96,104,25.29,49.07,17,6,1,4,58.42,79.96,37.17,0.054,0.483,0.405,0.545,0.458,Fail
S0047,19,Female,MSc,2.02,119,30.42,10.59,9,12,1,3,50.86,80.28,75.86,0.736,0.67,0.429,0.038,0.344,Fail
S0048,37,Female,BSc,3.25,143,25.08,21.77,15,5,3,3,59.57,72.37,93.23,0.324,0.089,0.304,0.987,0.821,Pass
S0049,32,Female,Diploma,2.83,123,14.01,46.94,10,7,4,9,55.76,95.43,35.65,0.802,0.843,0.865,0.325,0.322,Pass
S0050,24,Female,BSc,3.72,115,56.97,44.46,17,11,1,4,44.95,94.57,38.68,0.336,0.819,0.797,0.017,0.949,Fail
S0051,29,Female,BSc,2.5,123,37.43,22.74,17,8,3,6,70.27,42.85,54.29,0.286,0.626,0.64,0.113,0.696,Pass
S0052,25,Male,MSc,3.96,111,49.39,36.45,13,8,3,3,67.05,57.39,36.7,0.534,0.611,0.447,0.804,0.635,Fail
S0053,32,Male,BSc,3.23,143,42.92,8.95,18,11,1,8,82.88,61.86,91.99,0.193,0.753,0.503,0.037,0.395,Pass
S0054,20,Male,Diploma,3.59,118,35.71,37.06,16,11,5,4,77.22,43.32,91.29,0.402,0.801,0.234,0.453,0.054,Fail
S0055,31,Female,BSc,2.17,132,14.48,48.78,12,10,3,8,60.6,71.42,96.41,0.881,0.444,0.857,0.677,0.32,Fail
S0056,34,Female,Diploma,2.37,132,42.14,29.19,17,9,2,2,69.78,41.47,44.35,0.713,0.469,0.341,0.668,0.774,Fail
S0057,21,Female,MSc,3.52,135,17.77,27.43,19,8,3,9,72.16,80.68,33.17,0.689,0.463,0.259,0.81,0.347,Fail
S0058,35,Male,BSc,2.04,108,30.72,13.43,18,10,4,2,95.05,40.16,61.12,0.613,0.115,0.74,0.953,0.449,Pass
S0059,25,Female,Diploma,3.63,114,41.46,33.52,17,11,3,3,98.9,41.92,91.64,0.548,0.899,0.795,0.962,0.266,Pass
S0060,21,Female,MSc,2.03,134,49.11,31.57,23,13,1,3,88.93,90.03,74.69,0.47,0.456,0.473,0.913,0.206,Pass
S0061,19,Female,BSc,3.31,117,44.25,34.34,17,13,5,5,73.73,55.16,99.88,0.895,0.571,0.537,0.416,0.54,Fail
S0062,23,Female,BSc,2.73,116,43.58,6.17,11,15,0,3,95.69,44.87,93.4,0.803,0.492,0.776,0.417,0.183,Pass
S0063,39,Male,Diploma,3.22,116,17.45,29.69,19,14,2,8,50.69,63.97,57.49,0.415,0.723,0.852,0.772,0.374,Pass
S0064,27,Female,BSc,3.39,144,27.31,31.77,18,5,3,7,81.79,43.06,32.77,0.579,0.36,0.704,0.436,0.765,Pass
S0065,21,Male,BSc,2.68,108,12.15,14.34,16,11,5,1,67.63,85.02,30.36,0.013,0.34,0.878,0.324,0.395,Fail
S0066,39,Male,BSc,2.22,117,45.97,14.37,19,10,2,6,48.68,69.65,75.09,0.791,0.095,0.312,0.774,0.957,Fail
S0067,35,Female,BSc,2.14,112,57.63,17.43,17,12,4,2,44.51,73.12,94.1,0.783,0.172,0.835,0.476,0.783,Pass
S0068,29,Female,MSc,3.18,130,23.21,37.03,8,13,3,8,68.84,85.18,61.1,0.239,0.341,0.902,0.911,0.285,Fail
S0069,19,Other,BSc,3.04,128,14.38,32.28,19,10,3,8,54.34,87.07,91.2,0.084,0.929,0.3,0.12,0.348,Pass
S0070,27,Female,BSc,3.48,129,33.78,43.06,22,12,2,7,55.03,48.18,69.67,0.282,0.081,0.984,0.294,0.272,Pass
S0071,21,Female,BSc,3.02,129,52.83,18.3,16,11,3,8,59.21,56.82,36.86,0.42,0.415,0.434,0.907,0.06,Fail
S0072,31,Female,BSc,2.84,111,37.6,46.04,12,9,3,1,83.1,50.54,85.88,0.942,0.666,0.698,0.158,0.329,Pass
S0073,33,Female,Diploma,2.8,117,12.34,38.47,15,5,0,8,49.85,43.24,64.48,0.052,0.653,0.34,0.551,0.753,Fail
S0074,32,Male,BSc,2.05,115,58.71,22.78,18,0,2,1,83.05,72.25,33.57,0.554,0.071,0.062,0.867,0.262,Pass
S0075,25,Male,Diploma,2.67,141,51.43,9.29,19,7,1,3,86.96,54.99,87.02,0.362,0.218,0.699,0.386,0.456,Fail
S0076,31,Male,BSc,3.95,130,16.58,16.56,17,15,1,4,75.67,49.24,83.04,0.674,0.623,0.774,0.749,0.44,Fail
S0077,25,Female,BSc,3.75,138,56.09,48.05,12,11,4,3,54.85,70.61,62.01,0.192,0.223,0.707,0.261,0.44,Fail
S0078,38,Male,Diploma,2.66,128,32.53,18.97,10,3,0,2,43.09,78.04,31.36,0.108,0.122,0.25,0.085,0.275,Pass
S0079,33,Male,BSc,3.18,111,28.59,19.85,19,12,2,3,64.48,86.33,54.29,0.568,0.745,0.033,0.601,0.363,Pass
S0080,30,Male,MSc,3.69,118,33.05,13.53,12,14,2,9,90.85,41.05,60.45,0.227,0.032,0.326,0.79,0.53,Pass
S0081,35,Other,Diploma,2.88,123,51.73,41.31,14,5,0,2,46.11,71.58,41.57,0.776,0.412,0.843,0.15,0.82,Pass
S0082,32,Male,BSc,2.04,113,42.97,17.4,18,3,0,5,84.69,56.02,41.26,0.476,0.746,0.24,0.486,0.733,Pass
S0083,38,Female,BSc,2.15,125,12.96,19.86,19,11,4,3,68.07,99.5,41.69,0.484,0.458,0.811,0.162,0.475,Pass
S0084,30,Male,MSc,3.02,130,57.88,23.65,19,13,1,9,93.93,49.42,55.94,0.822,0.845,0.118,0.85,0.012,Fail
S0085,26,Female,BSc,3.94,129,17.39,24.52,15,8,5,7,61.37,66.27,87.23,0.856,0.265,0.578,0.01,0.731,Fail
S0086,32,Male,BSc,3.39,114,47.28,23.51,23,9,2,3,82.28,98.2,83.16,0.432,0.846,0.556,0.835,0.612,Fail
S0087,30,Male,BSc,2.14,107,41.81,27.67,22,12,5,2,84.41,52.79,30.71,0.746,0.748,0.247,0.577,0.874,Pass
S0088,18,Female,BSc,2.38,135,19.38,41.65,16,15,0,2,51.92,88.41,30.67,0.879,0.385,0.325,0.654,0.778,Pass
S0089,24,Male,MSc,3.54,132,18.54,41.87,18,14,2,5,49.49,54.58,35.44,0.035,0.093,0.779,0.437,0.668,Pass
S0090,26,Male,BSc,3.68,109,53.52,40.92,16,12,1,9,45.56,44.52,62.66,0.82,0.757,0.81,0.514,0.158,Fail
S0091,18,Male,BSc,3.24,120,30.98,9.55,10,11,2,2,82.09,42.57,92.22,0.474,0.963,0.305,0.419,0.765,Pass
S0092,29,Male,MSc,3.29,105,42.73,40.99,12,9,5,2,72.89,96.92,42.76,0.076,0.757,0.274,0.267,0.582,Pass
S0093,25,Male,BSc,2.06,100,35.2,10.41,15,14,2,8,45.2,52.77,63.38,0.255,0.641,0.909,0.405,0.944,Fail
S0094,28,Male,BSc,3.66,117,46.37,10.61,12,7,0,3,58.5,57.52,32.85,0.942,0.208,0.432,0.99,0.128,Pass
S0095,36,Female,MSc,3.58,140,33.96,47.65,10,12,0,3,48.54,98.01,31.42,0.475,0.432,0.81,0.162,0.222,Fail
S0096,34,Female,BSc,2.52,129,24.37,41.87,11,13,0,6,45.56,79.44,30.52,0.176,0.167,0.258,0.528,0.707,Pass
S0097,25,Female,MSc,3.42,127,28.17,29.86,14,8,1,6,57.93,69.29,81.57,0.38,0.446,0.792,0.525,0.59,Fail
S0098,20,Male,Diploma,2.43,143,52.95,44.37,9,6,3,6,45.78,66.13,31.67,0.518,0.79,0.183,0.981,0.879,Pass
S0099,20,Other,BSc,2.08,132,33.4,49.52,19,8,1,5,55.61,42.91,49.17,0.4,0.415,0.849,0.446,0.508,Fail
S0100,18,Male,MSc,2.4,103,20.67,32.48,10,9,0,4,73.16,90.34,75.15,0.746,0.388,0.454,0.037,0.133,Fail
S0101,22,Male,BSc,2.36,109,56.73,32.58,16,4,4,9,73.65,85.72,73.31,0.459,0.046,0.307,0.437,0.102,Pass
S0102,27,Female,BSc,2.68,131,49.83,38.95,16,12,2,4,50.08,45.44,33.86,0.065,0.016,0.485,0.147,0.689,Pass
S0103,24,Male,Diploma,2.84,120,12.78,15.45,18,9,2,1,51.46,61.21,47.97,0.493,0.019,0.059,0.918,0.124,Pass
S0104,26,Male,Diploma,3.02,136,59.95,12.52,13,11,5,8,91.3,93.12,74.75,0.757,0.246,0.322,0.025,0.556,Fail
S0105,24,Female,BSc,2.95,113,44.75,39.18,14,13,2,8,50.02,54.19,57.46,0.467,0.745,0.906,0.548,0.952,Pass
S0106,26,Female,MSc,2.54,110,18.01,20.52,16,15,5,3,42.74,76.67,62.61,0.148,0.345,0.83,0.553,0.547,Fail
S0107,25,Female,Diploma,2.06,119,21.86,11.08,17,11,2,9,54.69,69.28,44.5,0.46,0.019,0.08,0.09,0.189,Fail
S0108,29,Female,Diploma,3.21,136,44.62,19.17,13,7,4,7,74.59,89.11,32.64,0.094,0.107,0.637,0.118,0.465,Pass
S0109,19,Other,MSc,2.79,108,48.99,21.14,20,10,5,7,40.43,42.16,54.16,0.063,0.269,0.924,0.031,0.877,Pass
S0110,18,Male,BSc,2.6,118,21.95,48.44,21,11,0,5,99.1,88.97,77.81,0.76,0.921,0.787,0.826,0.108,Pass
S0111,33,Male,BSc,3.73,137,22.85,36.41,15,10,3,3,53.82,48.14,83.66,0.836,0.477,0.352,0.154,0.001,Fail
S0112,22,Male,Diploma,3.49,111,25.36,28.89,21,3,2,5,54.29,40.9,71.48,0.643,0.726,0.388,0.164,0.145,Fail
S0113,20,Male,BSc,3.72,124,39.9,48.6,12,8,5,3,84.32,75.73,57.52,0.168,0.056,0.36,0.616,0.447,Fail
S0114,29,Male,MSc,2.99,126,18.59,45.64,16,11,3,3,54.89,55.52,70.82,0.125,0.816,0.287,0.603,0.246,Pass
S0115,25,Other,BSc,2.26,106,15.21,28.04,11,15,5,1,63.77,82.56,79.35,0.595,0.13,0.655,0.573,0.519,Fail
S0116,39,Female,BSc,3.39,110,43.94,45.76,17,7,1,4,72.64,68.19,82.87,0.217,0.529,0.897,0.125,0.704,Pass
S0117,20,Female,BSc,2.41,97,48.95,23.19,24,10,1,9,41.31,76.33,36.61,0.114,0.338,0.684,0.56,0.678,Pass
S0118,18,Male,Diploma,2.88,127,35.05,15.37,9,13,2,6,90.24,81.38,86.21,0.963,0.97,0.915,0.495,0.341,Fail
S0119,20,Female,BSc,2.13,123,28.19,15.47,20,9,0,6,70.72,95.62,34.44,0.28,0.576,0.454,0.995,0.536,Pass
S0120,22,Other,MSc,3.65,114,31.6,34.8,13,10,4,6,58.78,89.39,90.93,0.329,0.636,0.044,0.111,0.664,Fail
S0121,32,Female,BSc,2.25,123,29.42,27.55,13,7,5,5,63.99,69.71,57.46,0.123,0.755,0.062,0.594,0.678,Pass
S0122,31,Male,BSc,3.81,122,58.0,34.65,15,11,2,2,43.35,66.28,68.28,0.78,0.886,0.312,0.719,0.081,Pass
S0123,20,Female,BSc,3.73,108,48.4,35.87,19,4,1,5,83.08,79.28,50.3,0.83,0.89,0.749,0.281,0.062,Fail
S0124,18,Male,MSc,2.93,115,20.4,6.0,23,7,1,3,72.37,84.01,59.87,0.422,0.271,0.53,0.394,0.136,Fail
S0125,22,Male,BSc,3.49,129,29.21,7.43,11,7,5,2,94.84,50.36,89.16,0.837,0.865,0.813,0.21,0.428,Fail
S0126,31,Male,BSc,3.24,142,37.2,28.97,14,11,5,4,67.85,41.95,50.7,0.171,0.665,0.805,0.582,0.546,Pass
S0127,24,Female,BSc,3.61,117,40.65,13.6,15,19,5,9,89.7,67.28,69.49,0.715,0.114,0.248,0.314,0.533,Fail
S0128,26,Female,BSc,2.86,121,33.41,33.46,14,8,3,7,51.3,45.97,75.3,0.976,0.863,0.247,0.233,0.436,Fail
S0129,32,Male,Diploma,3.57,96,50.51,29.85,11,14,4,9,43.39,56.36,40.25,0.975,0.152,0.957,0.19,0.886,Pass
S0130,32,Male,Diploma,2.92,114,48.38,31.36,13,7,5,3,96.91,75.08,84.45,0.83,0.882,0.892,0.218,0.779,Pass
S0131,27,Female,BSc,3.88,126,35.26,18.61,9,7,5,2,55.42,49.09,99.93,0.682,0.879,0.49,0.413,0.726,Pass
S0132,30,Male,MSc,2.97,121,52.72,33.79,12,9,2,9,90.02,41.71,40.85,0.27,0.82,0.286,0.043,0.551,Pass
S0133,36,Male,Diploma,2.93,135,47.55,42.33,14,10,0,6,55.44,73.28,83.75,0.836,0.69,0.989,0.141,0.345,Fail
S0134,24,Male,BSc,3.57,115,48.93,49.91,22,10,3,4,49.35,67.97,40.3,0.38,0.058,0.043,0.029,0.409,Pass
S0135,34,Female,Diploma,3.64,133,57.82,42.73,17,9,4,4,83.95,58.38,96.52,0.845,0.71,0.447,0.264,0.016,Pass
S0136,37,Male,Diploma,3.11,128,23.32,30.09,15,17,3,6,86.7,68.13,58.77,0.175,0.387,0.37,0.259,0.997,Fail
S0137,21,Male,BSc,2.36,116,23.38,13.7,11,7,5,7,90.62,81.01,98.59,0.447,0.268,0.407,0.279,0.352,Pass
S0138,22,Male,BSc,2.94,127,54.45,35.67,19,8,0,5,91.89,46.54,34.75,0.126,0.001,0.492,0.489,0.157,Fail
S0139,24,Other,Diploma,3.94,126,48.61,47.19,16,3,5,8,68.99,55.34,85.37,0.833,0.192,0.77,0.19,0.281,Fail
S0140,30,Female,MSc,3.51,110,56.33,14.53,13,5,1,1,64.01,87.7,63.14,0.27,0.23,0.953,0.263,0.485,Pass
S0141,32,Female,BSc,3.62,122,13.16,16.52,20,11,5,1,85.06,80.21,50.26,0.735,0.319,0.012,0.762,0.284,Fail
S0142,28,Male,BSc,2.07,104,41.39,11.71,8,14,2,4,74.16,55.98,82.35,0.873,0.491,0.624,0.951,0.87,Fail
S0143,21,Female,BSc,2.94,122,17.23,38.15,14,8,2,8,97.92,63.89,74.47,0.793,0.531,0.169,0.841,0.094,Fail
S0144,30,Male,MSc,3.29,155,35.19,23.3,16,11,0,8,62.55,47.18,93.2,0.887,0.766,0.803,0.377,0.085,Fail
S0145,24,Female,MSc,3.66,137,17.79,7.82,13,11,5,6,42.57,55.19,47.42,0.727,0.978,0.858,0.841,0.632,Fail
S0146,36,Other,Diploma,2.1,117,16.4,44.37,9,12,2,5,75.36,90.47,95.78,0.116,0.863,0.222,0.264,0.756,Fail
S0147,39,Female,BSc,3.7,137,10.61,30.1,15,9,2,2,61.21,66.42,74.93,0.717,0.073,0.252,0.818,0.95,Fail
S0148,19,Female,MSc,3.1,123,41.51,19.9,14,9,5,5,60.56,78.42,61.53,0.266,0.761,0.506,0.38,0.898,Fail
S0149,27,Female,MSc,2.39,132,27.95,20.48,12,9,3,5,73.87,49.58,33.72,0.548,0.692,0.592,0.644,0.517,Fail
S0150,30,Male,BSc,2.63,131,15.26,18.06,13,9,0,2,95.31,51.0,83.56,0.533,0.852,0.303,0.736,0.269,Pass
S0151,38,Other,BSc,2.56,118,26.14,25.5,16,13,3,8,56.02,96.46,90.09,0.071,0.903,0.411,0.683,0.758,Pass
S0152,23,Male,Diploma,3.06,120,18.45,20.17,14,8,2,5,62.78,90.49,86.67,0.797,0.226,0.656,0.76,0.12,Fail
S0153,29,Female,Diploma,2.1,121,57.08,29.66,11,15,5,5,93.47,87.42,81.5,0.141,0.364,0.302,0.797,0.643,Pass
S0154,29,Male,BSc,2.32,108,26.0,39.81,15,15,4,1,93.71,59.78,97.86,0.498,0.106,0.113,0.517,0.883,Pass
S0155,37,Male,MSc,3.63,131,26.7,35.35,15,15,5,1,54.08,73.77,89.44,0.775,0.882,0.565,0.221,0.032,Pass
S0156,28,Male,BSc,2.27,123,51.99,18.25,16,4,4,1,82.38,69.54,94.95,0.94,0.475,0.859,0.733,0.832,Fail
S0157,24,Male,MSc,2.47,134,42.39,28.79,15,8,3,8,64.93,97.37,81.13,0.211,0.679,0.723,0.553,0.835,Fail
S0158,18,Female,MSc,2.91,105,45.51,42.81,21,10,1,2,96.16,54.38,87.41,0.988,0.011,0.455,0.754,0.726,Pass
S0159,18,Female,MSc,3.03,117,41.8,8.07,14,5,5,8,83.93,96.83,50.24,0.468,0.842,0.675,0.548,0.273,Pass
S0160,37,Male,Diploma,3.53,134,57.31,8.52,17,16,1,6,69.66,82.41,76.82,0.367,0.989,0.906,0.696,0.859,Fail
S0161,30,Male,MSc,2.89,131,20.35,30.03,15,11,0,5,89.04,64.82,44.39,0.136,0.268,0.885,0.471,0.591,Pass
S0162,26,Female,BSc,3.58,103,59.45,33.76,17,10,4,6,99.87,55.98,34.85,0.884,0.404,0.482,0.112,0.991,Pass
S0163,20,Male,MSc,3.24,112,51.55,14.51,11,12,4,4,66.82,85.44,70.55,0.973,0.297,0.852,0.737,0.147,Fail
S0164,24,Female,BSc,2.23,102,39.45,38.53,13,9,3,3,62.41,89.38,84.8,0.024,0.014,0.066,0.627,0.492,Pass
S0165,23,Female,BSc,2.31,130,43.12,34.08,13,12,5,4,76.42,61.45,35.79,0.997,0.287,0.726,0.387,0.098,Fail
S0166,25,Female,BSc,2.87,125,42.44,46.55,10,7,2,9,80.98,50.31,42.69,0.877,0.4,0.917,0.937,0.82,Fail
S0167,26,Female,BSc,2.79,126,12.92,12.6,15,5,0,8,82.27,69.53,36.51,0.028,0.966,0.124,0.931,0.607,Pass
S0168,22,Male,MSc,3.49,104,20.9,38.81,23,11,3,8,68.41,68.11,74.39,0.377,0.721,0.507,0.794,0.514,Pass
S0169,18,Female,BSc,3.16,136,58.07,8.76,14,12,1,1,59.94,83.52,35.57,0.369,0.361,0.354,0.473,0.11,Fail
S0170,36,Male,MSc,2.78,124,36.72,30.44,14,6,5,5,89.32,98.39,36.53,0.662,0.341,0.562,0.527,0.857,Fail
S0171,27,Male,MSc,2.34,117,28.92,29.84,13,15,2,6,97.5,71.88,48.49,0.862,0.989,0.242,0.034,0.425,Fail
S0172,29,Female,BSc,2.45,130,48.1,22.48,11,7,0,9,91.84,83.9,48.92,0.897,0.6,0.374,0.772,0.712,Pass
S0173,32,Male,Diploma,3.15,119,36.23,43.01,6,11,5,6,80.94,61.03,69.03,0.714,0.515,0.53,0.556,0.553,Fail
S0174,39,Female,BSc,2.85,115,10.66,5.2,12,12,2,1,61.61,75.97,32.25,0.206,0.246,0.374,0.855,0.462,Fail
S0175,26,Female,BSc,3.03,134,46.81,28.41,13,8,1,1,77.35,46.92,73.07,0.926,0.793,0.862,0.134,0.149,Fail
S0176,37,Female,MSc,2.34,120,46.61,14.77,18,10,3,7,46.07,88.9,58.82,0.237,0.663,0.476,0.17,0.746,Fail
S0177,34,Other,BSc,3.33,110,18.26,38.46,16,5,3,3,72.03,60.66,42.51,0.517,0.731,0.909,0.915,0.301,Fail
S0178,34,Male,BSc,3.71,116,57.83,6.94,12,6,4,7,86.87,44.8,75.73,0.159,0.434,0.084,0.044,0.978,Fail
S0179,37,Male,MSc,2.52,116,21.2,42.42,11,11,5,5,55.06,99.43,53.08,0.972,0.352,0.821,0.223,0.417,Pass
S0180,29,Female,MSc,2.98,115,32.89,42.71,16,11,3,1,70.09,94.11,87.92,0.726,0.551,0.821,0.98,0.009,Pass
S0181,24,Male,BSc,3.95,137,15.74,42.48,9,19,4,8,44.4,51.85,99.26,0.925,0.413,0.408,0.001,0.834,Pass
S0182,19,Female,Diploma,2.67,114,40.16,11.87,14,7,3,9,90.31,61.79,84.53,0.759,0.894,0.167,0.215,0.304,Fail
S0183,20,Female,MSc,3.19,139,28.77,33.37,15,11,0,6,61.01,96.2,82.01,0.53,0.345,0.3,0.183,0.159,Fail
S0184,34,Female,Diploma,2.18,122,27.66,5.65,13,5,5,2,74.93,87.78,54.86,0.473,0.446,0.785,0.824,0.701,Fail
S0185,22,Male,BSc,3.21,99,51.35,43.16,15,6,1,9,62.71,94.38,67.42,0.831,0.109,0.458,0.286,0.252,Fail
S0186,34,Male,MSc,2.18,105,10.48,37.53,12,17,5,2,75.86,73.75,33.69,0.713,0.831,0.115,0.124,0.639,Fail
S0187,34,Male,Diploma,3.92,129,49.9,28.9,15,12,5,6,84.65,54.59,80.91,0.144,0.768,0.829,0.523,0.908,Fail
S0188,34,Male,MSc,3.43,115,38.57,37.88,18,13,2,4,59.61,53.62,77.25,0.02,0.226,0.773,0.957,0.961,Fail
S0189,19,Female,MSc,3.58,140,59.3,9.24,20,7,1,6,71.16,71.54,48.85,0.0,0.632,0.027,0.7,0.768,Fail
S0190,19,Male,BSc,3.41,127,39.47,28.79,11,10,1,4,87.69,95.44,67.39,0.858,0.529,0.85,0.924,0.533,Pass
S0191,39,Male,BSc,3.18,114,12.77,18.11,14,6,4,3,81.27,77.9,77.55,0.524,0.506,0.505,0.775,0.067,Pass
S0192,22,Male,BSc,2.9,124,12.53,48.77,12,8,4,8,43.42,42.06,55.75,0.452,0.524,0.214,0.541,0.456,Pass
